Year,Tm,Wtm,Ltm,HR,BA,OBP,SLG,OPS
2019,ARI,85,77,220,0.252,0.323,0.434,0.757
2019,TEX,78,84,223,0.248,0.319,0.431,0.75
2019,ATL,97,65,249,0.258,0.337,0.452,0.789
2019,BAL,54,108,213,0.246,0.31,0.415,0.725
2019,BOS,84,78,245,0.269,0.34,0.466,0.806
2019,CHC,84,78,256,0.252,0.331,0.452,0.783
2019,CHW,72,89,182,0.261,0.314,0.414,0.728
2019,CIN,75,87,227,0.244,0.315,0.422,0.737
2019,CLE,93,69,223,0.25,0.323,0.432,0.756
2019,COL,71,91,224,0.265,0.326,0.456,0.782
2019,DET,47,114,149,0.24,0.294,0.388,0.682
2019,HOU,107,55,288,0.274,0.353,0.496,0.848
2019,KCR,59,103,162,0.247,0.309,0.401,0.71
2019,TOR,67,95,247,0.237,0.305,0.428,0.733
2019,LAA,72,90,220,0.247,0.324,0.422,0.746
2019,LAD,106,56,279,0.257,0.338,0.472,0.81
2019,MIA,57,105,146,0.241,0.298,0.375,0.673
2019,MIL,89,73,250,0.247,0.329,0.438,0.767
2019,MIN,101,61,307,0.27,0.338,0.494,0.832
2019,NYM,86,76,242,0.257,0.328,0.442,0.77
2019,NYY,103,59,306,0.267,0.339,0.49,0.829
2019,OAK,97,65,257,0.249,0.327,0.448,0.776
2019,WSN,93,69,231,0.265,0.342,0.455,0.796
2019,PHI,81,81,215,0.246,0.319,0.427,0.746
2019,PIT,69,93,163,0.265,0.321,0.42,0.741
2019,SDP,70,92,219,0.238,0.308,0.41,0.718
2019,SEA,68,94,239,0.237,0.316,0.424,0.74
2019,SFG,77,85,167,0.239,0.302,0.392,0.694
2019,STL,91,71,210,0.245,0.322,0.415,0.737
2019,TBR,96,66,217,0.254,0.325,0.431,0.757
2018,WSN,82,80,191,0.254,0.335,0.419,0.753
2018,ARI,82,80,176,0.235,0.31,0.397,0.707
2018,ATL,90,72,175,0.257,0.324,0.417,0.742
2018,TOR,73,89,217,0.244,0.312,0.427,0.739
2018,BAL,47,115,188,0.239,0.298,0.391,0.689
2018,BOS,108,54,208,0.268,0.339,0.454,0.792
2018,CHC,95,68,167,0.258,0.333,0.41,0.744
2018,TEX,67,95,194,0.24,0.318,0.404,0.723
2018,CHW,62,100,182,0.241,0.302,0.401,0.703
2018,CIN,67,95,172,0.254,0.328,0.402,0.729
2018,CLE,91,71,216,0.259,0.332,0.434,0.766
2018,COL,91,72,210,0.256,0.322,0.435,0.757
2018,DET,64,98,135,0.241,0.3,0.38,0.68
2018,HOU,103,59,205,0.255,0.329,0.425,0.755
2018,KCR,58,104,155,0.245,0.305,0.392,0.697
2018,LAA,80,82,214,0.242,0.313,0.413,0.726
2018,LAD,92,71,235,0.25,0.333,0.442,0.774
2018,MIA,63,98,128,0.237,0.303,0.357,0.659
2018,MIL,96,67,218,0.252,0.323,0.424,0.747
2018,MIN,78,84,166,0.25,0.318,0.405,0.723
2018,NYM,77,85,170,0.235,0.312,0.389,0.701
2018,NYY,100,62,267,0.249,0.329,0.452,0.781
2018,OAK,97,65,227,0.252,0.325,0.439,0.764
2018,PHI,80,82,186,0.234,0.314,0.393,0.707
2018,PIT,82,79,157,0.254,0.317,0.407,0.725
2018,SDP,66,96,162,0.235,0.297,0.38,0.677
2018,SEA,89,73,176,0.254,0.314,0.408,0.722
2018,SFG,73,89,133,0.239,0.3,0.368,0.667
2018,STL,88,74,205,0.249,0.321,0.409,0.73
2018,TBR,90,72,150,0.258,0.333,0.406,0.74
2017,ARI,93,69,220,0.254,0.329,0.445,0.774
2017,ATL,72,90,165,0.263,0.326,0.412,0.738
2017,BAL,75,87,232,0.26,0.312,0.435,0.747
2017,BOS,93,69,168,0.258,0.329,0.407,0.736
2017,CHC,92,70,223,0.255,0.338,0.437,0.775
2017,CHW,67,95,186,0.256,0.314,0.417,0.731
2017,CIN,68,94,219,0.254,0.329,0.433,0.761
2017,CLE,102,60,212,0.263,0.339,0.449,0.788
2017,COL,87,75,192,0.273,0.338,0.444,0.781
2017,DET,64,98,187,0.258,0.324,0.424,0.748
2017,WSN,97,65,215,0.266,0.332,0.449,0.782
2017,HOU,101,61,238,0.282,0.346,0.478,0.823
2017,KCR,80,82,193,0.259,0.311,0.42,0.731
2017,LAA,80,82,186,0.243,0.315,0.397,0.712
2017,TOR,76,86,222,0.24,0.312,0.412,0.724
2017,LAD,104,58,221,0.249,0.335,0.437,0.771
2017,MIA,77,85,194,0.267,0.331,0.431,0.762
